Country,Population,GNI per capita,Human Development Index,Human Asset Index
Afghanistan,41.1 M,390 USD,0.478,42
Albania,2.8 M,"6,770 USD",0.796,
Algeria,44.9 M,"3,900 USD",0.745,90.2
Angola,35.6 M,"1,900 USD",0.586,52
Antigua and Barbuda,0.1 M,"18,280 USD",0.788,96.4
Argentina,46.2 M,"11,620 USD",0.842,97.6
Armenia,2.8 M,"5,960 USD",0.759,94.6
Aruba *,0.1 M,"29,460 USD",,
Azerbaijan,10.2 M,"5,630 USD",0.745,93
Bahamas,0.4 M,"31,530 USD",0.812,90.3
Bahrain,1.5 M,"27,180 USD",0.875,97.9
Bangladesh,171.2 M,"2,820 USD",0.661,75.3
Barbados,0.3 M,"19,350 USD",0.79,98
Belarus,9.2 M,"7,240 USD",0.808,
Belize,0.4 M,"6,800 USD",0.683,89.3
Benin,13.4 M,"1,400 USD",0.525,49.4
Bhutan,0.8 M,"3,040 USD",0.666,79.5
Bolivia,12.2 M,"3,450 USD",0.692,88.5
Bosnia and Herzegovina,3.2 M,"7,660 USD",0.78,
Botswana,2.6 M,"7,350 USD",0.693,83.1
Brazil,215.3 M,"8,140 USD",0.754,95.9
Brunei,0.4 M,"31,410 USD",0.829,93.8
Bulgaria,6.5 M,"13,250 USD",0.795,
Burkina Faso,22.7 M,840 USD,0.449,56
Burundi,12.9 M,240 USD,0.426,53.9
Cambodia,16.8 M,"1,700 USD",0.593,74.3
Cameroon,27.9 M,"1,660 USD",0.576,61.2
Cape Verde,0.6 M,"4,140 USD",0.662,91.2
Central African Republic,5.6 M,480 USD,0.404,27.4
Chad,17.7 M,690 USD,0.394,18.3
Chile,19.6 M,"15,360 USD",0.855,99.1
China,"1,425.7 M","12,850 USD",0.768,95.7
Colombia,51.9 M,"6,510 USD",0.752,93.9
Comoros,0.8 M,"1,610 USD",0.558,67.2
Costa Rica,5.2 M,"12,670 USD",0.809,97.3
Democratic Republic of the Congo,99.0 M,590 USD,0.479,47.9
Djibouti,1.1 M,"3,180 USD",0.509,61.9
Dominica,0.1 M,"8,460 USD",0.72,93.5
Dominican Republic,11.2 M,"9,050 USD",0.767,90.9
East Timor,1.3 M,"1,970 USD",0.607,69.5
Ecuador,18.0 M,"6,310 USD",0.74,90.3
Egypt,111.0 M,"4,100 USD",0.731,83.3
El Salvador,6.3 M,"4,720 USD",0.675,88.2
Equatorial Guinea,1.7 M,"5,320 USD",0.596,67.1
Eritrea,3.7 M,600 USD,0.492,57.2
Eswatini,1.2 M,"3,800 USD",0.597,77.1
Ethiopia,123.4 M,"1,020 USD",0.498,55.3
Federated States of Micronesia,0.1 M,"4,130 USD",0.628,83.3
Fiji,0.9 M,"5,270 USD",0.73,94.2
Gabon,2.4 M,"7,540 USD",0.706,78.5
Gambia,2.7 M,810 USD,0.5,63.8
Georgia,3.7 M,"5,620 USD",0.802,98.4
Ghana,33.5 M,"2,350 USD",0.632,78.5
Grenada,0.1 M,"9,340 USD",0.795,96.5
Guatemala,17.4 M,"5,350 USD",0.627,69.3
Guinea,13.9 M,"1,180 USD",0.465,39.8
Guinea-Bissau,2.1 M,820 USD,0.483,44
Guyana,0.8 M,"15,050 USD",0.714,89.8
Haiti,11.6 M,"1,610 USD",0.535,66.2
Honduras,10.4 M,"2,740 USD",0.621,83.4
India,"1,425.8 M","2,380 USD",0.633,74.3
Indonesia,275.5 M,"4,580 USD",0.705,83.3
Iran,88.6 M,"3,900 USD",0.774,91.4
Iraq,44.5 M,"5,270 USD",0.686,75.3
Ivory Coast,28.2 M,"2,620 USD",0.55,53
Jamaica,2.8 M,"5,670 USD",0.709,91.3
Jordan,11.3 M,"4,260 USD",0.72,90.4
